template_number,template_name,Change Type,Usage,Approval Model,Lead Time,Owning Group,Applicable Scenarios,Active,Global,Group,Name,Next Related Template,Next Related Child Template,Short description,Show on template bar,Stand alone,User
ABC00001,Software Update - Activity 1,Software Update,Used for routine updates to ensure system stability.,CAB Approval,1 Day,IT Operations,System downtime mitigation; Data migration activities,True,False,IT Operations,Software Update - Activity 1,,,Used for routine updates to ensure system stability.,True,True,system
ABC00002,Database Migration - Activity 2,Database Migration,Applied during server migrations to improve performance.,Standard Change Approval,2 Days,Database Team,Infrastructure enhancement; Hardware lifecycle upgrades,True,False,IT Operations,Database Migration - Activity 2,,,Applied during server migrations to improve performance.,True,True,system
ABC00003,Network Upgrade - Activity 3,Network Upgrade,Required for network upgrades and capacity expansions.,Emergency Approval,3 Days,Network Team,Security patch deployment; Regulatory compliance enforcement; Business continuity planning,True,False,IT Operations,Network Upgrade - Activity 3,,,Required for network upgrades and capacity expansions.,True,True,system
ABC00004,Hardware Replacement - Activity 4,Hardware Replacement,Used when replacing or upgrading hardware components.,Auto-Approved,1 Week,Security Team,Hardware lifecycle upgrades; Business continuity planning,True,False,IT Operations,Hardware Replacement - Activity 4,,,Used when replacing or upgrading hardware components.,True,True,system
ABC00005,Security Patch - Activity 5,Security Patch,Applied to fix security vulnerabilities quickly.,Executive Approval,2 Weeks,Compliance Team,Regulatory compliance enforcement; Data integrity validation,True,False,IT Operations,Security Patch - Activity 5,,,Applied to fix security vulnerabilities quickly.,True,True,system
ABC00006,Compliance Update - Activity 6,Compliance Update,Used to meet regulatory and compliance requirements.,CAB Approval,1 Month,Application Development Team,Business continuity planning; Security patch deployment; Data integrity validation,True,False,IT Operations,Compliance Update - Activity 6,,,Used to meet regulatory and compliance requirements.,True,True,system
ABC00007,Disaster Recovery Drill - Activity 7,Disaster Recovery Drill,Conducted to test disaster recovery plans. Approval Model: Standard Change Approval Lead Time: 2 Days,Standard Change Approval Lead Time: 2 Days,2 Days,Infrastructure Team,System downtime mitigation; Data migration activities; Business continuity planning,True,False,IT Operations,Disaster Recovery Drill - Activity 7,,,Conducted to test disaster recovery plans. Approval Model: Standard Change Approval Lead Time: 2 Days,True,True,system
ABC00008,Access Control Change - Activity 8,Access Control Change,Used for managing user access and permissions.,Emergency Approval,1 Week,Risk Management,Security patch deployment; Hardware lifecycle upgrades,True,False,IT Operations,Access Control Change - Activity 8,,,Used for managing user access and permissions.,True,True,system
ABC00009,Application Deployment - Activity 9,Application Deployment,Applied when deploying new software versions.,Auto-Approved,2 Weeks,Cloud Operations,System downtime mitigation; Business continuity planning,True,False,IT Operations,Application Deployment - Activity 9,,,Applied when deploying new software versions.,True,True,system
ABC00010,Data Backup - Activity 10,Data Backup,Used for routine and emergency data backup tasks.,Executive Approval,3 Days,Customer Support,Data integrity validation; Security patch deployment,True,False,IT Operations,Data Backup - Activity 10,,,Used for routine and emergency data backup tasks.,True,True,system
ABC00011,API Upgrade - Activity 11,API Upgrade,Used when upgrading APIs to align with new standards or interoperability requirements.,CAB Approval,1 Week,Integration Team,Infrastructure enhancement; Data migration activities,True,False,IT Operations,API Upgrade - Activity 11,,,Used when upgrading APIs to align with new standards or interoperability requirements.,True,True,system
ABC00012,Cloud Integration - Activity 12,Cloud Integration,Applied when integrating on-premises systems with cloud infrastructure.,Standard Change Approval,2 Days,Cloud Operations,Data integrity validation; Business continuity planning,True,False,IT Operations,Cloud Integration - Activity 12,,,Applied when integrating on-premises systems with cloud infrastructure.,True,True,system
ABC00013,Monitoring Setup - Activity 13,Monitoring Setup,Used to configure monitoring tools and dashboards for critical systems.,Emergency Approval,3 Days,IT Operations,System downtime mitigation; Security patch deployment,True,False,IT Operations,Monitoring Setup - Activity 13,,,Used to configure monitoring tools and dashboards for critical systems.,True,True,system
ABC00014,User Training - Activity 14,User Training,Applied to educate users on new software features or security policies.,Auto-Approved,1 Week,Application Development Team,Business continuity planning; Regulatory compliance enforcement,True,False,IT Operations,User Training - Activity 14,,,Applied to educate users on new software features or security policies.,True,True,system
ABC00015,Incident Management - Activity 15,Incident Management,Used to manage and resolve incidents affecting services.,Executive Approval,Immediate Owning Group: Security Team Applicable Scenarios:,Security Team Applicable Scenarios:,System downtime mitigation; Security patch deployment,True,False,IT Operations,Incident Management - Activity 15,,,Used to manage and resolve incidents affecting services.,True,True,system
ABC00016,Configuration Change - Activity 16,Configuration Change,Applied to adjust system settings or configurations for optimization.,CAB Approval,1 Day,Infrastructure Team,Performance tuning; Data integrity validation,True,False,IT Operations,Configuration Change - Activity 16,,,Applied to adjust system settings or configurations for optimization.,True,True,system
ABC00017,Capacity Planning - Activity 17,Capacity Planning,Used to forecast resource requirements and upgrade infrastructure accordingly.,Standard Change Approval,1 Week,Risk Management,System downtime mitigation; Business continuity planning,True,False,IT Operations,Capacity Planning - Activity 17,,,Used to forecast resource requirements and upgrade infrastructure accordingly.,True,True,system
ABC00018,Vendor Onboarding - Activity 18,Vendor Onboarding,Applied when integrating new vendors or third-party services into the ecosystem.,Emergency Approval,2 Weeks,Compliance Team,Regulatory compliance enforcement; Security patch deployment,True,False,IT Operations,Vendor Onboarding - Activity 18,,,Applied when integrating new vendors or third-party services into the ecosystem.,True,True,system
ABC00019,Patch Management - Activity 19,Patch Management,Used to deploy software patches across systems to address vulnerabilities or bugs.,Auto-Approved,1 Month,IT Operations,Security patch deployment; Data integrity validation,True,False,IT Operations,Patch Management - Activity 19,,,Used to deploy software patches across systems to address vulnerabilities or bugs.,True,True,system
ABC00020,Performance Tuning - Activity 20,Performance Tuning,Applied to optimize system performance and resource utilization.,Executive Approval,3 Days,Application Development Team,Infrastructure enhancement; Data migration activities,True,False,IT Operations,Performance Tuning - Activity 20,,,Applied to optimize system performance and resource utilization.,True,True,system
ABC00021,Cloud Security Audit - Activity 21,Security,Used to conduct audits of cloud infrastructure to ensure security policies are enforced.,CAB Approval,2 Weeks,Cloud Operations,Regulatory compliance enforcement; Incident preparedness; System downtime mitigation,True,False,IT Operations,Cloud Security Audit - Activity 21,,,Used to conduct audits of cloud infrastructure to ensure security policies are enforced.,True,True,system
ABC00022,Network Firewall Expansion - Activity 22,Network,Applied to expand firewall capabilities and rules to cover new services or data flows.,Standard Change Approval,1 Week,Network Team,Security patch deployment; Data integrity validation; Infrastructure enhancement,True,False,IT Operations,Network Firewall Expansion - Activity 22,,,Applied to expand firewall capabilities and rules to cover new services or data flows.,True,True,system
ABC00023,Software License Update - Activity 23,Software,Used to update software licenses to ensure compliance and access to new features.,Auto-Approved,3 Days,IT Operations,System downtime mitigation; Regulatory compliance enforcement,True,False,IT Operations,Software License Update - Activity 23,,,Used to update software licenses to ensure compliance and access to new features.,True,True,system
ABC00024,Endpoint Security Installation - Activity 24,Security,Applied to install or upgrade security software on endpoints such as workstations and servers.,Emergency Approval,1 Week,Security Team,Security patch deployment; Incident management; Regulatory compliance enforcement,True,False,IT Operations,Endpoint Security Installation - Activity 24,,,Applied to install or upgrade security software on endpoints such as workstations and servers.,True,True,system
ABC00025,Data Retention Policy Implementation - Activity 25,Compliance,Used to apply data retention policies to meet regulatory and organizational requirements.,CAB Approval,2 Weeks,Compliance Team,Regulatory compliance enforcement; Data integrity validation; Business continuity planning,True,False,IT Operations,Data Retention Policy Implementation - Activity 25,,,Used to apply data retention policies to meet regulatory and organizational requirements.,True,True,system
ABC00026,Backup System Upgrade - Activity 26,Data,Applied when upgrading or replacing backup systems to enhance reliability and speed.,Standard Change Approval,1 Week,Infrastructure Team,Data integrity validation; System downtime mitigation; Disaster recovery drills,True,False,IT Operations,Backup System Upgrade - Activity 26,,,Applied when upgrading or replacing backup systems to enhance reliability and speed.,True,True,system
ABC00027,Identity Access Review - Activity 27,Security,Used to review and update user identity access rights and permissions.,Auto-Approved,2 Days,Risk Management,Incident management; Regulatory compliance enforcement,True,False,IT Operations,Identity Access Review - Activity 27,,,Used to review and update user identity access rights and permissions.,True,True,system
ABC00028,Cloud Migration - Activity 28,Cloud Integration,Applied when migrating workloads to cloud infrastructure to improve scalability.,CAB Approval,3 Weeks,Cloud Operations,Infrastructure enhancement; System downtime mitigation,True,False,IT Operations,Cloud Migration - Activity 28,,,Applied when migrating workloads to cloud infrastructure to improve scalability.,True,True,system
ABC00029,Patch Testing Environment Setup - Activity 29,Software,Used to create a testing environment for applying patches before production deployment.,Standard Change Approval,1 Week,Application Development Team,Security patch deployment; Regulatory compliance enforcement,True,False,IT Operations,Patch Testing Environment Setup - Activity 29,,,Used to create a testing environment for applying patches before production deployment.,True,True,system
ABC00030,Incident Escalation Protocol Update - Activity 30,Process,Applied to update protocols for escalating incidents to senior management or external stakeholders.,Emergency Approval,2 Days,Security Team,Incident management; Business continuity planning,True,False,IT Operations,Incident Escalation Protocol Update - Activity 30,,,Applied to update protocols for escalating incidents to senior management or external stakeholders.,True,True,system
ABC00031,API Security Enhancement - Activity 31,Security,Used to enhance security settings and controls for APIs to protect against threats.,CAB Approval,1 Week,Integration Team,Infrastructure enhancement; Security patch deployment,True,False,IT Operations,API Security Enhancement - Activity 31,,,Used to enhance security settings and controls for APIs to protect against threats.,True,True,system
ABC00032,Monitoring Alert Configuration - Activity 32,Monitoring,Applied to configure alert thresholds and notification mechanisms for critical system events.,Auto-Approved,3 Days,IT Operations,System downtime mitigation; Data integrity validation,True,False,IT Operations,Monitoring Alert Configuration - Activity 32,,,Applied to configure alert thresholds and notification mechanisms for critical system events.,True,True,system
ABC00033,Cloud Cost Optimization - Activity 33,Cloud Integration,Used to implement cost-saving strategies for cloud resources and services.,Standard Change Approval,2 Weeks,Cloud Operations,Infrastructure enhancement; Data integrity validation,True,False,IT Operations,Cloud Cost Optimization - Activity 33,,,Used to implement cost-saving strategies for cloud resources and services.,True,True,system
ABC00034,Training Portal Update - Activity 34,User Training,Applied to update training content and tools for employees across departments.,Auto-Approved,1 Week,Application Development Team,Business continuity planning; Incident management,True,False,IT Operations,Training Portal Update - Activity 34,,,Applied to update training content and tools for employees across departments.,True,True,system
ABC00035,Vendor Security Review - Activity 35,Security,Used to assess security compliance and vulnerabilities in vendor systems before onboarding or renewal.,CAB Approval,3 Weeks,Compliance Team,Regulatory compliance enforcement; Incident management,True,False,IT Operations,Vendor Security Review - Activity 35,,,Used to assess security compliance and vulnerabilities in vendor systems before onboarding or renewal.,True,True,system
ABC00036,Disaster Recovery Plan Review - Activity 36,Disaster Recovery,Applied to review and update disaster recovery plans to ensure effectiveness.,Standard Change Approval,2 Weeks,Risk Management,Business continuity planning; Incident management,True,False,IT Operations,Disaster Recovery Plan Review - Activity 36,,,Applied to review and update disaster recovery plans to ensure effectiveness.,True,True,system
ABC00037,Data Encryption Policy Enforcement - Activity 37,Compliance,Used to implement encryption protocols across sensitive data repositories.,Emergency Approval,1 Week,Security Team,Data integrity validation; Regulatory compliance enforcement,True,False,IT Operations,Data Encryption Policy Enforcement - Activity 37,,,Used to implement encryption protocols across sensitive data repositories.,True,True,system
ABC00038,Performance Benchmarking - Activity 38,Performance,Applied to benchmark system performance against industry standards to identify improvement areas.,CAB Approval,3 Weeks,IT Operations,Infrastructure enhancement; Business continuity planning,True,False,IT Operations,Performance Benchmarking - Activity 38,,,Applied to benchmark system performance against industry standards to identify improvement areas.,True,True,system
ABC00039,API Compliance Verification - Activity 39,Compliance,Used to verify that APIs meet data protection and industry compliance standards.,Standard Change Approval,2 Weeks,Integration Team,Regulatory compliance enforcement; Security patch deployment,True,False,IT Operations,API Compliance Verification - Activity 39,,,Used to verify that APIs meet data protection and industry compliance standards.,True,True,system
ABC00040,Legacy System Decommissioning - Activity 40,Hardware / Software,Applied to phase out legacy systems and transition to modern platforms securely and efficiently.,Auto-Approved,1 Month,Infrastructure Team,System downtime mitigation; Infrastructure enhancement; Business continuity planning,True,False,IT Operations,Legacy System Decommissioning - Activity 40,,,Applied to phase out legacy systems and transition to modern platforms securely and efficiently.,True,True,system
ABC00041,Endpoint Configuration Review - Activity 41,Security,Used to review and update endpoint security configurations to prevent unauthorized access.,CAB Approval,2 Weeks,Security Team,Regulatory compliance enforcement; Incident management; System downtime mitigation,True,False,IT Operations,Endpoint Configuration Review - Activity 41,,,Used to review and update endpoint security configurations to prevent unauthorized access.,True,True,system
ABC00042,Storage Capacity Expansion - Activity 42,Hardware,Applied when expanding storage infrastructure to meet growing data requirements.,Standard Change Approval,1 Week,Infrastructure Team,Infrastructure enhancement; Business continuity planning,True,False,IT Operations,Storage Capacity Expansion - Activity 42,,,Applied when expanding storage infrastructure to meet growing data requirements.,True,True,system
ABC00043,Access Policy Automation - Activity 43,Security,"Used to automate access policies based on roles, permissions, and workflows.",Auto-Approved,3 Days,Risk Management,Incident management; Regulatory compliance enforcement,True,False,IT Operations,Access Policy Automation - Activity 43,,,"Used to automate access policies based on roles, permissions, and workflows.",True,True,system
ABC00044,API Load Testing - Activity 44,Performance,Applied to test API performance under load conditions to ensure reliability and scalability.,CAB Approval,2 Weeks,Application Development Team,Infrastructure enhancement; System downtime mitigation,True,False,IT Operations,API Load Testing - Activity 44,,,Applied to test API performance under load conditions to ensure reliability and scalability.,True,True,system
ABC00045,Business Continuity Plan Implementation - Activity 45,Disaster Recovery,Used to implement or update business continuity plans ensuring critical operations continue during disruptions.,Executive Approval,3 Weeks,Risk Management,Incident management; System downtime mitigation,True,False,IT Operations,Business Continuity Plan Implementation - Activity 45,,,Used to implement or update business continuity plans ensuring critical operations continue during disruptions.,True,True,system
ABC00046,Data Masking Implementation - Activity 46,Compliance,Applied to mask sensitive data in non-production environments to prevent unauthorized access.,CAB Approval,1 Week,Compliance Team,Regulatory compliance enforcement; Data integrity validation,True,False,IT Operations,Data Masking Implementation - Activity 46,,,Applied to mask sensitive data in non-production environments to prevent unauthorized access.,True,True,system
ABC00047,Cloud Access Policy Review - Activity 47,Cloud Integration,Used to review and update cloud access policies to align with security best practices.,Standard Change Approval,2 Weeks,Cloud Operations,Security patch deployment; Incident management,True,False,IT Operations,Cloud Access Policy Review - Activity 47,,,Used to review and update cloud access policies to align with security best practices.,True,True,system
ABC00048,Legacy Software Patch - Activity 48,Software,Applied to patch vulnerabilities in legacy applications that remain in use.,Emergency Approval,1 Week,Application Development Team,Regulatory compliance enforcement; Security patch deployment,True,False,IT Operations,Legacy Software Patch - Activity 48,,,Applied to patch vulnerabilities in legacy applications that remain in use.,True,True,system
ABC00049,Vendor Contract Review - Activity 49,Compliance,Used to review vendor contracts to ensure service level agreements and data protection requirements are met.,CAB Approval,3 Weeks,Compliance Team,Incident management; Regulatory compliance enforcement,True,False,IT Operations,Vendor Contract Review - Activity 49,,,Used to review vendor contracts to ensure service level agreements and data protection requirements are met.,True,True,system
ABC00050,Infrastructure Patch Rollout - Activity 50,Hardware / Software,"Applied to roll out infrastructure patches across servers, storage, and network devices to ensure security and performance.",Standard Change Approval,2 Weeks,IT Operations,Security patch deployment; System downtime mitigation; Infrastructure enhancement,True,False,IT Operations,Infrastructure Patch Rollout - Activity 50,,,"Applied to roll out infrastructure patches across servers, storage, and network devices to ensure security and performance.",True,True,system
